nome,x,y
Nontronite,535.3553,727.9883
Nontronite,535.8375,701.1348
Nontronite,536.3196,687.4033
Nontronite,536.8017,686.168
Nontronite,537.2838,675.3857
Nontronite,537.7659,657.123
Nontronite,538.248,632.4443
Nontronite,538.7302,599.832
Nontronite,539.2123,561.7324
Nontronite,539.6944,539.6406
Nontronite,540.1765,545.3037
Nontronite,540.6586,555.9023
Nontronite,541.1407,530.4453
Nontronite,541.6229,480.0254
Nontronite,542.105,444.1006
Nontronite,542.5871,464.7617
Nontronite,543.0692,495.708
Nontronite,543.5513,486.9111
Nontronite,544.0334,436.3291
Nontronite,544.5156,400.3438
Nontronite,544.9977,423.8438
Nontronite,545.4798,462.1904
Nontronite,545.9619,479.4229
Nontronite,546.444,451.1416
Nontronite,546.9261,427.8682
Nontronite,547.4083,416.6602
Nontronite,547.8904,414.7373
Nontronite,548.3725,418.251
Nontronite,548.8546,436.7031
Nontronite,549.3367,444.4805
Nontronite,549.8188,430.7441
Nontronite,550.301,398.2832
Nontronite,550.7831,379.8818
Nontronite,551.2652,377.2959
Nontronite,551.7473,382.9453
Nontronite,552.2294,395.0928
Nontronite,552.7115,412.6162
Nontronite,553.1937,421.4062
Nontronite,553.6758,418.2822
Nontronite,554.1579,414.9248
Nontronite,554.64,434.124
Nontronite,555.1221,465.749
Nontronite,555.6042,479.4121
Nontronite,556.0864,448.5713
Nontronite,556.5685,411.3076
Nontronite,557.0506,409.5098
Nontronite,557.5327,434.0488
Nontronite,558.0148,450.915
Nontronite,558.4969,433.0391
Nontronite,558.9791,410.2979
Nontronite,559.4612,398.9463
Nontronite,559.9433,400.3496
Nontronite,560.4254,414.9004
Nontronite,560.9075,460.8594
Nontronite,561.3896,509.6641
Nontronite,561.8718,535.3174
Nontronite,562.3539,509.9961
Nontronite,562.836,511.1641
Nontronite,563.3181,560.3477
Nontronite,563.8002,631.7705
Nontronite,564.2823,661.3887
Nontronite,564.7645,642.5156
Nontronite,565.2466,614.8184
Nontronite,565.7287,586.4336
Nontronite,566.2108,559.5371
Nontronite,566.6929,551.0742
Nontronite,567.175,562.3867
Nontronite,567.6572,581.9062
Nontronite,568.1393,606.2842
Nontronite,568.6214,630.9395
Nontronite,569.1035,643.2988
Nontronite,569.5856,639.5283
Nontronite,570.0677,632.2852
Nontronite,570.5499,630.1494
Nontronite,571.032,632.2432
Nontronite,571.5141,637.252
Nontronite,571.9962,644.3623
Nontronite,572.4783,653.082
